-1****
0,Indice,5|2,Nombre,20|0,Edad,5|1,Sexo,10|2,Dirección,50
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
Data,Data [1][2]         ,Data,Data [1][,Data [1][5]                                       ,
